Shipment Tracking Code,Shipping Name,Package Number,Weight/KG,Quantity,Flight,Customer code
  JT5341590726333   ,Белье,1,0.37,1,M2,ss
  JT5341726527780   ,Кардиган,1,0.35,1,M2,ss
  777274344415355   ,Нижнее белье,1,0.11,1,M2,gg
  773333039355706   ,Платья,1,0.4,1,M2,akb
  464104190842766   ,Сумки,1,0.46,1,M2,gg
  JT5341597973928   ,Белье,1,0.42,1,M2,gg
  JT5341841486081   ,Белье,1,0.18,1,M2,ss
  JT5341540571755   ,Тапочки,1,0.32,1,M2,ss
  464101780379856   ,Сорочки,1,0.5,1,M2,gg
  777274357974855   ,Нижнее белье,1,0.28,1,M2,ss
  464106931842246   ,Хлопковая одежда,1,0.96,1,M2,ss
  464104697762452   ,Игрушки,1,0.02,1,M2,ss
  777274099285200   ,Аксессуары,1,0.07,1,M2,ss
  JT5341683871475   ,Аксессуары,1,0.08,1,M2,ss
  JT5342241966135   ,Носки,1,0.08,1,M2,ss
  464098467212122   ,Нижнее белье,1,0.05,1,M2,ss
  JT5342112595031   ,Инструменты,1,0.04,1,M2,ss
